7/28/2025,AX-HDFCBANK,Rs.500.00 debited from A/C ending 1234 at Swiggy
7/27/2025,VK-SBI,Rs.10000 credited to your salary account
7/26/2025,JD-AXISBNK,Rs.259 EMI paid to Bajaj Finance
7/25/2025,AX-KOTAKBNK,Rs.199 debited from A/C for Netflix subscription
7/24/2025,VK-ICICIBANK,Rs.1200 spent on Amazon India
7/23/2025,JD-PAYTMBNK,Rs.99 paid to Hotstar via Paytm UPI
7/22/2025,AX-HDFCBANK,Rs.699 debited from A/C for Zomato order
7/21/2025,VK-SBI,Salary of Rs.50000 credited to your A/C
7/20/2025,JD-AXISBNK,Rs.1500 EMI paid to SBI Card
7/19/2025,AX-KOTAKBNK,Rs.80 credited via cashback from Google Pay
